station,chip,channel,amplitude,width,transition_point_data,transition_point_erf,std_transition_point_(erf)
11,4,029,1.723896,1001.004943,215.211517,215.21151659013856,0.009388349024012796
11,5,029,1.747395,1000.61005,193.395392,193.3953915925332,0.006851864961696851
11,6,029,2.084319,1000.752334,169.84909,169.8490902400135,0.0008532660161018823
11,7,029,2.210747,1000.798007,175.260245,175.26024540094605,0.006221483076404797
11,0,030,1.876323,1000.675596,141.192,141.19199994796057,0.0014526351885723583
11,1,030,2.20127,1001.5225,212.09461,212.0946103538253,0.007100040377439172
11,2,030,1.62396,999.593081,183.420571,183.42057078562632,0.0055197313581135795
11,3,030,1.652001,1000.001074,175.17177,175.1717703221288,0.0045656665420285725
11,4,030,1.67821,1000.669985,185.414089,185.41408852098002,0.0018709240914539782
11,5,030,1.743838,1001.21557,133.569677,133.5696770192912,0.0008525732242818268
11,6,030,1.667199,1001.001832,146.177307,146.1773071944022,0.0032234000051987576
11,7,030,2.33225,1002.625978,186.531735,186.53173490072018,0.020178508730486915
11,0,031,1.973624,1000.963131,188.915274,188.91527375447407,0.0013788123814985186
11,1,031,1.790195,1000.682153,168.598475,168.59847494557872,0.0023874680740606897
11,2,031,1.614729,1000.352703,208.878095,208.87809536133167,0.009476297190652936
11,3,031,1.739954,1000.67086,224.976073,224.97607348208854,0.004058151791152644
11,4,031,1.77234,1001.003062,213.136188,213.13618767687439,0.00037953522393426357
11,5,031,1.51914,1000.005906,182.837854,182.83785393378733,0.004417853995777514
11,6,031,1.728233,1000.41461,182.977627,182.97762666795734,0.004822556447223147
11,7,031,2.104435,1001.140765,202.373611,202.37361119901354,0.001279899401096084
11,0,032,1.784557,1000.674688,191.365513,191.36551251451598,0.0017196669224589217
11,1,032,1.863141,999.690927,197.448115,197.44811455713892,0.004605940191731066
11,2,032,1.690787,1001.258062,179.407654,179.40765441905344,0.011176518282401935
11,3,032,1.767339,1000.66781,185.99572,185.99571970963567,0.006647592309351552
11,4,032,1.84825,1000.468378,183.233429,183.23342886315172,0.002077676559614451
11,5,032,1.512928,998.372078,178.188266,178.1882660611653,0.011267886603617092
11,6,032,1.745225,1000.679572,169.548601,169.5486010595748,0.001248815538647109
11,7,032,2.151722,999.67207,183.215734,183.21573351660962,0.0055564435643780195
11,0,033,1.896681,1000.698097,228.253183,228.25318332356807,0.003834849500754949
11,1,033,1.677525,1000.33471,163.156474,163.15647386677503,0.003648612544364658
11,2,033,1.865811,999.32122,155.81902,155.8190201904554,0.006147214566073088
11,3,033,1.738731,1001.020712,171.114525,171.11452478194056,0.020935559127522985
11,4,033,1.981953,1000.791187,153.529797,153.52979702346343,0.00276607265892202
11,5,033,1.758612,1001.000159,171.654159,171.6541586495047,0.0036916794265731507
11,6,033,1.893957,1000.978037,178.889473,178.88947251206662,8.277678859596913e-05
11,7,033,2.263771,1001.584646,252.093756,252.0937557255386,0.008509037106494732
11,0,034,1.866302,1001.053693,189.337298,189.33729780022102,0.0002094209696958628
11,1,034,1.742097,1000.0028,185.241718,185.24171784842417,0.003904513627205095
11,2,034,1.838967,1000.717934,190.68838,190.68838025107422,0.007867180697100611
11,3,034,1.748814,1000.671369,197.324241,197.32424089067706,0.003230012456044758
11,4,034,1.991141,1000.751035,172.564696,172.5646956880785,0.009775938378058627
11,5,034,2.070651,1000.667048,230.115214,230.11521405062703,0.0026294284538966413
11,6,034,1.816221,1001.04315,130.856345,130.85634498827062,0.00777118331671858
11,7,034,2.393066,998.265088,176.337112,176.33711213270348,0.01816095316016117
11,0,035,1.836925,1001.016496,146.335765,146.3357651970535,0.00026374566096808036
11,1,035,1.842139,1000.348951,175.380392,175.38039185689595,0.0058446240375458905
11,2,035,1.858954,1000.035008,123.547083,123.54708321941332,0.003610265103173328
11,3,035,1.793214,1000.356667,175.569799,175.5697985541689,0.005472721646690783
11,4,035,1.741118,999.032681,251.316936,251.316936168167,0.007812371805740917
11,5,035,1.838826,997.930139,147.081086,147.0810856260308,0.010618781030809842
11,6,035,1.789752,1001.116808,166.066199,166.06619916687436,0.007480132740471324
11,7,035,2.287519,998.928633,187.475679,187.47567884608736,0.011714132682946979
11,0,037,1.968497,1000.752886,153.889648,153.88964765398512,0.0020810557769236518
11,1,037,1.440708,1000.666721,191.126312,191.1263119907363,0.0020763039428586126
11,2,037,1.745717,999.203119,139.87254,139.87253995409728,0.006259917890406915
11,3,037,1.714507,1001.018064,132.597913,132.5979126872817,6.156464628186981e-05
11,4,037,1.862978,1000.681055,180.334641,180.33464060484857,0.001586166307680037
11,5,037,1.756896,1000.359414,175.665359,175.6653591091032,0.0058175697519655505
11,6,037,1.832075,1001.005812,148.263323,148.26332330355694,0.00723336929113299
11,7,037,2.288725,1000.378131,221.51391,221.5139097974012,0.005260496859776125
11,0,038,1.8434,999.919322,189.424131,189.42413125305546,0.004300985912519229
